n,P_approx_2_alter(2.3.n)
1462,0.257527
1463,0.274230
1464,0.263544
1465,0.272965
1466,0.280518
1467,0.248839
1468,0.273100
1469,0.270698
1470,0.252015
1471,0.262527
1472,0.264234
1473,0.277763
1474,0.253552
1475,0.268826
1476,0.276478
1477,0.265771
1478,0.272798
1479,0.265222
1480,0.265851
1481,0.254866
1482,0.263656
1483,0.265975
1484,0.274231
1485,0.267268
1486,0.275399
1487,0.257829
1488,0.262156
1489,0.278483
1490,0.261322
1491,0.282258
1492,0.265608
1493,0.271662
1494,0.286608
1495,0.269190
1496,0.260366
1497,0.265077
1498,0.270356
1499,0.273866
1500,0.262510
1501,0.267402
1502,0.259147
1503,0.265863
1504,0.280173
1505,0.285403
1506,0.251536
1507,0.277351
1508,0.264906
1509,0.268537
1510,0.264839
1511,0.272817
1512,0.243296
1513,0.260260
1514,0.262036
1515,0.252909
1516,0.260916
1517,0.266497
1518,0.266310
1519,0.277843
1520,0.286715
1521,0.256001
1522,0.267533
1523,0.283964
1524,0.278038
1525,0.262667
1526,0.266286
1527,0.274008
1528,0.265242
1529,0.265363
1530,0.257510
1531,0.268392
1532,0.268238
1533,0.268086
1534,0.280547
1535,0.264266
1536,0.268124
1537,0.265004
1538,0.278451
1539,0.268584
1540,0.268564
1541,0.266916
1542,0.270348
1543,0.260643
1544,0.262091
1545,0.265015
1546,0.265996
1547,0.269919
1548,0.268698
1549,0.270616
1550,0.272664
1551,0.269673
1552,0.260885
1553,0.282115
1554,0.260858
1555,0.270761
1556,0.265947
1557,0.275898
1558,0.244488
1559,0.266788
1560,0.268027
1561,0.261858
1562,0.260419
1563,0.268432
1564,0.263434
1565,0.272603
1566,0.262342
1567,0.272937
1568,0.268241
1569,0.273451
1570,0.255702
1571,0.261449
1572,0.269641
1573,0.260031
1574,0.275341
1575,0.250209
1576,0.277598
1577,0.266066
1578,0.273581
1579,0.253227
1580,0.276152
1581,0.271358
1582,0.267173
1583,0.263370
1584,0.264979
1585,0.274177
1586,0.262095
1587,0.246910
1588,0.266094
1589,0.261851
1590,0.270445
1591,0.257135
1592,0.264325
1593,0.259771
1594,0.258243
1595,0.274870
1596,0.270405
1597,0.263451
1598,0.262684
1599,0.264326
1600,0.270052
1601,0.269072
1602,0.277882
1603,0.261156
1604,0.276997
1605,0.260869
1606,0.268744
1607,0.267785
1608,0.271874
1609,0.270331
1610,0.265852
1611,0.260448
1612,0.270433
1613,0.277721
1614,0.262194
1615,0.266939
1616,0.263082
1617,0.254143
1618,0.264454
1619,0.256409
1620,0.280915
1621,0.275545
1622,0.265842
1623,0.260734
1624,0.269394
1625,0.281476
1626,0.248205
1627,0.256763
1628,0.250696
1629,0.273210
1630,0.275566
1631,0.280724
1632,0.260432
1633,0.261693
1634,0.256968
1635,0.265612
1636,0.279145
1637,0.271522
1638,0.272250
1639,0.281734
1640,0.254952
1641,0.267507
1642,0.273305
1643,0.259190
1644,0.267854
1645,0.256143
1646,0.267268
1647,0.276164
1648,0.253898
1649,0.292339
1650,0.256642
1651,0.256282
1652,0.286741
1653,0.266509
1654,0.263756
1655,0.271881
1656,0.258494
1657,0.277806
1658,0.255311
1659,0.252929
1660,0.282924
1661,0.262288
1662,0.257177
1663,0.267269
1664,0.276512
1665,0.257239
1666,0.262235
1667,0.260883
1668,0.267586
1669,0.249539
1670,0.266942
1671,0.265081
1672,0.252285
1673,0.265081
1674,0.258726
1675,0.266505
1676,0.265797
1677,0.282260
1678,0.273491
1679,0.258599
1680,0.260363
1681,0.267583
1682,0.267726
1683,0.246108
1684,0.263646
1685,0.265049
1686,0.262391
1687,0.264364
1688,0.261664
1689,0.263936
1690,0.268679
1691,0.263544
1692,0.274390
1693,0.265764
1694,0.260103
1695,0.276418
1696,0.265417
1697,0.277137
1698,0.268587
1699,0.265752
1700,0.265429
1701,0.266182
1702,0.269600
1703,0.266342
1704,0.262920
1705,0.261488
1706,0.268620
1707,0.264573
1708,0.261640
1709,0.263671
1710,0.272612
1711,0.270652
1712,0.261430
1713,0.269338
1714,0.275455
1715,0.263023
1716,0.273148
1717,0.266862
1718,0.268067
1719,0.259761
1720,0.259467
1721,0.284202
1722,0.274921
1723,0.261362
1724,0.258339
1725,0.267057
1726,0.267189
1727,0.265903
1728,0.269920
1729,0.242845
1730,0.259656
1731,0.278958
1732,0.271334
1733,0.262685
1734,0.252135
1735,0.250429
1736,0.256198
1737,0.275610
1738,0.275300
1739,0.277115
1740,0.272267
1741,0.278807
1742,0.263467
1743,0.254296
1744,0.267876
1745,0.270831
1746,0.274117
1747,0.268384
1748,0.273743
1749,0.258942
1750,0.263990
1751,0.260544
1752,0.256307
1753,0.253317
1754,0.274144
1755,0.271176
1756,0.275407
1757,0.267241
1758,0.262673
1759,0.268692
1760,0.269897
1761,0.260090
1762,0.260132
1763,0.274377
1764,0.267276
1765,0.252666
1766,0.285265
1767,0.268377
1768,0.259419
1769,0.265002
1770,0.263778
1771,0.266380
1772,0.266635
1773,0.257139
1774,0.268058
1775,0.258523
1776,0.275490
1777,0.256844
1778,0.268556
1779,0.265673
1780,0.263042
1781,0.284103
1782,0.270013
1783,0.269800
1784,0.267856
1785,0.260159
1786,0.276361
1787,0.268047
1788,0.259719
1789,0.273576
1790,0.267800
1791,0.275585
1792,0.263458
1793,0.257581
1794,0.285437
1795,0.264687
1796,0.265600
1797,0.257174
1798,0.254351
1799,0.271411
1800,0.262448
1801,0.255663
1802,0.266810
1803,0.274349
