n,P_approx_2(2.3.n)
1577,0.265060
1578,0.261090
1579,0.248258
1580,0.263291
1581,0.270715
1582,0.276865
1583,0.266582
1584,0.268308
1585,0.249211
1586,0.267339
1587,0.260239
1588,0.253149
1589,0.265576
1590,0.261006
1591,0.252671
1592,0.271357
1593,0.267420
1594,0.257842
1595,0.265831
1596,0.285088
1597,0.269255
1598,0.279725
1599,0.260788
1600,0.261250
1601,0.275453
1602,0.265918
1603,0.250780
1604,0.266209
1605,0.254829
1606,0.274595
1607,0.258867
1608,0.267413
1609,0.265382
1610,0.266460
1611,0.272502
1612,0.264268
1613,0.281463
1614,0.259603
1615,0.268111
1616,0.268564
1617,0.259740
1618,0.275031
1619,0.268684
1620,0.273457
1621,0.264035
1622,0.270654
1623,0.276032
1624,0.252463
1625,0.267692
1626,0.265068
1627,0.264290
1628,0.274570
1629,0.260282
1630,0.247239
1631,0.254445
1632,0.259191
1633,0.254133
1634,0.276010
1635,0.267278
1636,0.273227
1637,0.271228
1638,0.272283
1639,0.259304
1640,0.273171
1641,0.271785
1642,0.252741
1643,0.275107
1644,0.265207
1645,0.272948
1646,0.267922
1647,0.274438
1648,0.268204
1649,0.265616
1650,0.258788
1651,0.271351
1652,0.263317
1653,0.272232
1654,0.264208
1655,0.255589
1656,0.284420
1657,0.260109
1658,0.260555
1659,0.240506
1660,0.266867
1661,0.262492
1662,0.252106
1663,0.255562
1664,0.259615
1665,0.254054
1666,0.269508
1667,0.272945
1668,0.272782
1669,0.267825
1670,0.267665
1671,0.258528
1672,0.268541
1673,0.275553
1674,0.265830
1675,0.288955
1676,0.254773
1677,0.254025
1678,0.264005
1679,0.268017
1680,0.274405
1681,0.263534
1682,0.275268
1683,0.265597
1684,0.248219
1685,0.245104
1686,0.272242
1687,0.269117
1688,0.262441
1689,0.281824
1690,0.271006
1691,0.258427
1692,0.276005
1693,0.283520
1694,0.251476
1695,0.253687
1696,0.249410
1697,0.258103
1698,0.272674
1699,0.255444
1700,0.261765
1701,0.292769
1702,0.265570
1703,0.268937
1704,0.275822
1705,0.268035
1706,0.259672
1707,0.287639
1708,0.252927
1709,0.259801
1710,0.283626
1711,0.288720
1712,0.303738
1713,0.257443
1714,0.272462
1715,0.269388
1716,0.255245
1717,0.266744
1718,0.255530
1719,0.278650
1720,0.272674
1721,0.277745
1722,0.270035
1723,0.244341
1724,0.277842
1725,0.257971
1726,0.269409
1727,0.275622
1728,0.246528
1729,0.278774
1730,0.247399
1731,0.247256
1732,0.270208
1733,0.276976
1734,0.251442
1735,0.276081
1736,0.254032
1737,0.262522
1738,0.258343
1739,0.253019
1740,0.294828
1741,0.257898
1742,0.271527
1743,0.263913
1744,0.249427
1745,0.269341
1746,0.262314
1747,0.278191
1748,0.286041
1749,0.249285
1750,0.271429
1751,0.264420
1752,0.281393
1753,0.281232
1754,0.259407
1755,0.271795
1756,0.265945
1757,0.270347
1758,0.266780
1759,0.277999
1760,0.278977
1761,0.272005
1762,0.262770
1763,0.263755
1764,0.269274
1765,0.260057
1766,0.268403
1767,0.251273
1768,0.261878
1769,0.260599
1770,0.258192
1771,0.252400
1772,0.260722
1773,0.273548
1774,0.277339
1775,0.260845
1776,0.274212
1777,0.271244
1778,0.255906
1779,0.264193
1780,0.261798
1781,0.272319
1782,0.254770
1783,0.268087
1784,0.256726
1785,0.257143
1786,0.270437
1787,0.242306
1788,0.260067
1789,0.261040
1790,0.245251
1791,0.269123
1792,0.279576
1793,0.269939
1794,0.255295
1795,0.280223
1796,0.280624
1797,0.274346
1798,0.275306
1799,0.275709
1800,0.263333
1801,0.265963
1802,0.274140
1803,0.265114
1804,0.268847
1805,0.273130
1806,0.287375
1807,0.286663
1808,0.267146
1809,0.275843
1810,0.265193
1811,0.259525
1812,0.261038
1813,0.264203
1814,0.265160
1815,0.280992
1816,0.271476
1817,0.276830
1818,0.273927
1819,0.260583
1820,0.285165
1821,0.258100
1822,0.264544
